%META
title	Welbi Gasidel

%LANG	X
name	Xanz
%TRANS
English
%LINES
text	Xanz text
morph	Xanz morphemes
morph	English morpheme gloss
trans	English word gloss

%LANG	S
name	Sajem Tan
%TRANS
English
%LINES
text	Sajem Tan text
morph	Sajem Tan morphemes
morph	English morpheme gloss
trans	English word gloss
# blah

%TEXT

%LINE
X	Welbi	wlb/ey-i		of that which has been sung
X	Gasidel	gsd/ai-el		the organization
X-T	The Organization of that which has been Sung
S	Slnolxemnocvmeh	slnolxem-noc-vmeh		the organizational structure of
S	Cejymthnu	cejym-thnu		the song	F1
S-T	The Organizational Structure's Song
S-F1	Con	con		[quote]
S-F1	Xanz	Xanz	Xanz	Xanz
S-F1	omehctangynah	om-ehc-tan-gyn-ah		speakers of
S-F1	tan,	tan		say
S-F1	slnolxemvah	slnolxem-vah		with song
S-F1	slet	slet		according to tradition
S-F1	fmyvuhkfehsun	fmyvuhk-feh-sun		was made
S-F1	xytmolmdin,	xyt-molm-din		the world
S-F1	tyk	tyk		so
S-F1	vemekzheh,	vemek-zheh		regarding science
S-F1	"xytmolmdin"	xyt-molm-din		the world
S-F1	zanum	zan-um		is
S-F1	con	con		[quote]
S-F1	Welyb	Welyb	Welyb	Welyb
S-F1	om.	om		[end quote]
S-F1-T	The speakers of Xanz traditionally say that the world was created with song, so in science, "Welyb" is "the world".

%LINE
X	Efáthel:	e-Fáthel		Fáthel said
X	Tan	tan		[question]
X	Welbi	wlb/ey-i		the song's
X	gáxtheli	gxth/áe-el-i		enumerated things'
X	gasideli	gsd/ai-el-i		organization's
X	tejyw?	tjw/ey		story
X-T	Fáthel said: What is the story of the organization of the pieces of the song?
S	Con	con		[quote]
S	Fáthel	Fáthel		Fáthel
S	om	om		[end quote]
S	julgic,	julgic		asked
S	Slnolxemnocvmeh	slnolxem-noc-vmeh		sung things'
S	xuhmsoahvmeh	xuhm-so-ah-vmeh		numbered things'	F2
S	cejymthnuvmeh	cejym-thnu-vmeh		organization's
S	znenan	znenan		story
S	zanum	zan-um		is
S	duku?	du-ku		what
S-T	Fáthel asked: What is the story of the organization of the enumerated pieces of that which has been sung?
S-F2	Thycamehtsun	thycam-eht-sun		be read
S-F2	sin	sin		should
S-F2	cesikdeh	cesik-deh		this word
S-F2	tidyn	tidyn		like
S-F2	"mu	mu		[rel clause]
S-F2	sazemfehsun	sazem-feh-sun		are divided
S-F2	keh	keh		and
S-F2	julvoltfehsun	julvolt-feh-sun		are given names
S-F2	duah	du-ah		they
S-F2	om	om		[end clause]
S-F2	tultah".	tult-ah		things
S-F2-T	This word should be read like "things which can be divided and given names."

%LINE
X	Tan	tan		what are
X	xwi	xow-i		its
X	tawatelek	twt/aa-el=ek		very small pieces and
X	lalafel?	llf/aa-el		very large pieces
S	Duvmeh	du-vmeh		its
S	tivemolkah	tivemolk-ah		small parts
S	keh	keh		and
S	duvmeh	du-vmeh		its
S	duhtmunah	duht-mun-ah		very large parts
S	zanum	zan-um		are
S	duahku?	du-ah-ku		what
S-T	What are it's very small and very large parts?

%LINE
X	Ejakeñ	e-Jakeñ		Jakeñ
X	Exanzel:	e-xdz/á-el		the Wise said
X	Anatitujíw.	ana-ti-tjw/uí		I will tell you
X	Áthidikugíj	áthi-ti-kgj/uí		I will begin
X	anhawatlen.	á[case]-twt/aa-el-en		with the very small pieces
S	Vmelfelc	vmelfelc		wise
S	con	con		[quote]
S	Jakeñ	Jakeñ		Jakeñ
S	om	om		[end quote]
S	jagec,	jagec		replied
