%META
title	Athrabeth

%LANG	E
name	English
%TRANS
Original English
%LINES
text	Original English

%LANG	X
name	Xanz
%TRANS
English
%LINES
text	Xanz text
morph	Xanz morphemes
morph	English morpheme gloss
trans	English word gloss

%LANG	S
name	Sajem Tan
%TRANS
English
%LINES
text	Sajem Tan text
morph	Sajem Tan morphemes
morph	English morpheme gloss
trans	English word gloss

%TEXT

%LINE
E-T	"Have ye then no hope?" said Finrod.
X	"Tan	tan		[question]
X	thomath	thbth/óa		hope
X	etpokel	e-tpk/yo-el		keep
X	isbelam?"	ise-blb/eá		not
X	Finrod	Finrod		Finrod
X	kal	kal		this
X	gikudin.	gy-ji-kdd/uí		said
X-T	"Do you not have hope?" said Finrod.
S	Con	con		[quote]
S	Finrod	Finrod		Finrod
S	om	om		[end quote]
S	tan	tan		said
S	"Jo	jo		then
S	zhuah	zhu-ah		you
S	zamenum	zamen-um		hope
S	molt	mt<ol>		not
S	kolk?"	kk<ol>		[question]
S-T	"Then do you not hope?" said Finrod.

%LINE
E-T	"What is hope?" she said.
X	"Tan	tan		what
X	thomath?"	thbth/óa		hope
X	Andreth	Andreth		Andreth
X	kal	kal		this
X	gikudin.	gy-ji-kdd/uí		said
X-T	"What is hope?" Andreth said.
S	Con	con		[quote]
S	Andreth	Andreth		Andreth
S	om	om		[end quote]
S	tan	tan		said
S	"Zamenthnu	zamen-thnu		hope
S	zanum	zan-um		is
S	duku?"	du-ku		what
S-T	"What is hope?" Andreth said.

%LINE
E-T	"An expectation of good, which though uncertain has some foundation in what is known?
X	"Jókal	jkl/óa		expectation
X	gathipeli	gthp/ai-el-i		of good
X	si	si		which
X	etasikel	e-tsk/ai-el		certain
X	leblam	le-blb/eá		is not
X	ol	ol		but
X	áxow	á[case]-xow		of it
X	xonaz	xdz/óa		knowledge
X	ledafik?	le-dfk/ai		supports
X-T	"An expectation of good, which is not certain but which is supported by knowledge?
S	"Tulceslitthot	tulceslit-thot		of something that does good
S	mu	mu		[rel clause]
S	velgamukum	velgam-uk-um		is uncertain
S	smah	smah		but
S	duvmeh	du-vmeh		its
S	xananzmetthnak	xanan-zmet-thnak		foundation
S	zanum	zan-um		is
S	shynnoc	shyn-noc		knowledge
S	om	om		[end clause]
S	tezleknoc?	tezlek-noc		expectation
S-T	"An expectation of something which does good, which is uncertain but knowledge is its foundation?

%LINE
E-T	Then we have none."
X	Gon	gon		if
X	jan,	jan		this
X	sef	sef		none
X	áthitypok."	áthi-tpk/yo		we have
X-T	If so, we have none."
S	Jo	jo		then
S	duxehtmunum	du-xeht-mun-um		have none of it
S	sehah."	seh-ah		we
S-T	Then we have none of it."

%LINE
E-T	"That is one thing that Men call 'hope'," said Finrod.
X	"Jan	jan		that
X	banthe	bdth/á		one
X	si	si		[rel clause]
X	'thomath'	thbth/óa		hope
X	legáxet,"	le-gxt/áe		is called
X	Finrod	Finrod		Finrod
X	kal	kal		this
X	gikudin.	gy-ji-kdd/uí		said
X-T	"That is one thing which is called 'hope'," said Finrod.
S	Con	con		[quote]
S	Finrod	Finrod		Finrod
S	om	om		[end quote]
S	tan	tan		said
S	"Mu	mu		[rel clause]
S	zhothot	zho-thot		to it
S	julvoltehtsun	julvolt-eht-sun		is called
S	'zamenthnu'	zamen-thnu		hope
S	om	om		[end clause]
S	dolk	dolk		one
S	tult	tult		thing
S	zanum	zan-um		is
S	tultdeh."	tult-deh		this thing
S-T	"This thing is one thing which is called 'hope'," said Finrod.

%LINE
E-T	"Amdir we call it, 'looking up'.
X	"'Amdir'	Amdir		Amdir
X	áthiguxinh,	áthi-gxt/uí		we call it
X	''euleumel'.	'lb/euéú-el		looking up
X-T	"We call it 'Amdir', 'looking up'.
S	Duthot	du-thot		to it
S	con	con		[quote]
S	Amdir	Amdir		Amdir
S	om	om		[end quote]
S	julvolteht	julvolt-eht		name
S	sehah,	seh-ah		we
S	'navnycnelm'.	navnyc-nelm		look up
S-T	"We name it 'Amdir', 'looking up'."

%LINE
E-T	But there is another which is founded deeper.
X	Ol	ol		but
X	bagili	bgl/ai-i		two's
X	dállen	dll/á-en		in place
X	si	si		[rel clause]
X	xwi	xow-i		its
X	bañhje	bsj/á		foundation
X	lefalif	le-flf/ai		is deep
X	kangudíl	ká-gdl/uí		[comparative]
X	áthiguxinh.	áthi-gxt/uí		we identify
X-T	But we identify a second whose foundation is deeper.
S	Smah	smah		but
S	feltsut	felt-sut		second
S	zanum	zan-um		is
S	keh	keh		and
S	sitsut	sit-sut		first
S	gevmulkmehttuum	gevmulk-meht-tu-um		is deeper
S	duvmeh	du-vmeh		its
S	xananzmetthnak.	xanan-zmet-thnak		foundation
S-T	But there is a second and its foundation is deeper than the first.

%LINE
E-T	Estel we call it, that is 'trust.'
X	Estel	Estel		Estel
X	áthiguxinh,	áthi-gxt/uí		we call it
X	jan	jan		that
X	'fólak.'	flk/óa		trust
X-T	We call it Estel, that is 'trust.'
S	Duthot	du-thot		to it
S	con	con		[quote]
S	Estel	Estel		Estel
S	om	om		[end quote]
S	julvolteht	julvolt-eht		name
S	sehah,	seh-ah		we
S	'veslek'	veslek		trust
S	zanum	zan-um		is
S	cesikdeh.	cesik-deh		this word
S-T	We name it Estel, this word is 'trust.'

%LINE
E-T	It is not defeated by the ways of the world, for it does not come from experience, but from our nature and first being.
