%META
title	Welbi Gasidel

%LANG	X
name	Xanz
%TRANS
English
%LINES
text	Xanz text
morph	Xanz morphemes
morph	English morpheme gloss
trans	English word gloss

%LANG	S
name	Sajem Tan
%TRANS
English
%LINES
text	Sajem Tan text
morph	Sajem Tan morphemes
morph	English morpheme gloss
trans	English word gloss
# blah

%TEXT

%LINE
X	Welbi	wlb/ey-i		of that which has been sung
X	Gasidel	gsd/ai-el		the organization
X-T	The Organization of that which has been Sung
S	Slnolxemnocvmeh	slnolxem-noc-vmeh		the organizational structure of
S	Cejymthnu	cejym-thnu		the song	F1
S-T	The Organizational Structure's Song
S-F1	Con
S-F1	Xanz	X	X	Xanz
S-F1	omehctangynah	om-ehc-tan-gyn-ah		speakers of
S-F1	tan,	tan[pr]
S-F1	slnolxemvah	slnolxem-vah

%LINE
X	Efáthel:	e-Fáthel		Fáthel said
X	Tan	tan		Q
X	Welbi	wlb/ey-i		the song's
X	gáxtheli	gxth/áe-el-i		enumerated things'
X	gasideli	gsd/ai-el-i		organization's
X	tejyw?	tjw/ey		story

%LINE
X	Tan	tan		what are
X	xwi	xow-i		its
X	tawatelek	twt/aa-el=ek		very small pieces and
X	lalafel?	llf/aa-el		very large pieces
S	Duvmeh	du-vmeh		its
S	tivemolkah	tivemolk-ah		small parts
S	keh	keh		and
S	duvmeh	du-vmeh		its
S	duhtmunah	duht-mun-ah		very large parts
S	zanum	zan-um		are
S	duahku?	du-ah-ku		what
S-T	What are it's very small and very large parts?

%LINE
X	Ejakeñ	e-Jakeñ		Jakeñ
X	Exanzel:	e-xdz/á-el		the Wise said
X	Anatitujíw.	ana-ti-tjw/uí		I will tell you
X	Áthidikugíj	áthi-ti-kgj/uí		I will begin
X	anhawatlen.	á[case]-twt/aa-el-en		with the very small pieces
S	Vmelfelc	vmelfelc		?TODO
S	con	con		?TODO
S	Jakeñ	Jakeñ		Jakeñ
S	om	om		?TODO
S	jagec,	jagec		?TODO
S	kizhultsho	kizhult-sho		?TODO
S	sehjot.	seh-jot		?TODO
S	Tivemolkahzheh	tivemolk-ah-zheh		?TODO
S	kizhultsho	kizhult-sho		?TODO
S	sit	sit		?TODO
S	seh.	seh		I
S-T	Jakeñ the Wise replied: I will tell you the story. I will begin with the very small things.

%LINE
X	Utawat	u-twt/aa		the smallest
X	tawatel	twt/aa-el		small pieces
X	legañhed	le-gsd/áe		are organized
X	jen	jen		only
X	etdolel.	e-tdl/yo-el		according to weight
S	Cejymumsun	cejym-um-sun		?TODO
S	funmun	fun-mun		?TODO
S	tivemolkah	tivemolk-ah		?TODO
S	decec	decec		?TODO
S	telmynsolsolm	telmyn-solsolm		?TODO
S	zult.	zult		?TODO
S-T	The smallest things are organized only according to weight.

%LINE
X	Tydli	tdl/yo-i		weights'
X	kandeli	kdd/áe-el-i		name's
X	jáfe'.	jf'/áe		six
X-T	The weights' six names:
S	Xek	xek		?TODO
S	telmynsolsolmahvmeh	telmyn-solsolm-ah-vmeh		?TODO
S	julvetah.	julvet-ah		?TODO
S-T	[There are] 6 named weights.

%LINE
X	Banthi	bdth/á-i		one's
X	goñhaden,	gsd/óa-en		in position
X	utadal,	u-tdl/aa		heaviest
X	besyl.	bsl/ey		stone
X-T	In the first place, the heaviest, Stone.
S	Telmyntutuum	telmyn-tutu-um		is heaviest
S	dolksut:	dolk-sut		first
S	thefam.	thefam		stone
S-T	The first is the heaviest: stone.

%LINE
X	Tegthi	tgth/ey-i		two's
X	goñhaden,	gsd/óa-en		in position
